VOC speciation for creating MOZART species in [molecules/cm2/s] from HTAPv3 NMVOC emissions in [kg/m2/s]
REGION, SECTOR_CODE, SECTOR_NAME, CH3OH,C2H5OH,C2H6,C3H8,BIGALK,C2H4,C3H6,C2H2,ISOP,MTERP,BIGENE,BENZENE,TOLUENE,XYLENES,CH3CL,CH2O,CH3CHO,CH3COCH3,MEK,HCOOH,CH3COOH
Asia,HTAP_2.1,Domestic Aviation,    0.00000e+00,    0.00000e+00,    5.41980e+16,    1.64236e+16,    9.26478e+18,    3.99545e+20,    7.93241e+19,    1.03338e+20,    0.00000e+00,    0.00000e+00,    4.37982e+19,    1.61745e+19,    2.29098e+16,    3.74860e+16,    0.00000e+00,    3.16556e+20,    1.81770e+20,    2.27679e+19,    5.69198e+18,    0.00000e+00,    0.00000e+00
Asia,HTAP_3,Energy,    0.00000e+00,    0.00000e+00,    5.71950e+19,    9.47849e+19,    1.29620e+20,    9.50315e+19,    4.08206e+19,    4.55309e+19,    6.33196e+17,    0.00000e+00,    5.49959e+19,    8.80030e+19,    3.91698e+19,    4.06874e+19,    3.23446e+20,    5.96760e+19,    1.60062e+19,    3.06290e+19,    7.65725e+18,    0.00000e+00,    0.00000e+00
Asia,HTAP_4.1,Industry,    1.61345e+19,    1.07563e+19,    2.82954e+19,    8.90271e+19,    1.81599e+20,    8.72996e+19,    3.19137e+19,    8.14892e+19,    7.04928e+17,    4.67635e+18,    3.33759e+19,    3.47554e+19,    2.77097e+19,    3.12632e+19,    3.49884e+20,    6.18459e+18,    1.62895e+19,    1.35646e+19,    3.39114e+18,    2.24177e+18,    2.24177e+18
Asia,HTAP_4.2,Fugitive,    0.00000e+00,    0.00000e+00,    4.75537e+18,    7.28772e+19,    1.88309e+20,    1.88639e+19,    1.52815e+19,    4.25014e+18,    6.02200e+17,    0.00000e+00,    2.80442e+19,    6.43273e+19,    9.70223e+19,    5.90490e+19,    3.07760e+20,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00
Asia,HTAP_4.3,Solvents,    2.21560e+20,    1.47707e+20,    1.57375e+18,    3.43405e+19,    1.90324e+20,    7.20489e+17,    2.45325e+18,    4.35437e+17,    0.00000e+00,    0.00000e+00,    4.30358e+18,    5.33796e+18,    6.81389e+19,    1.23973e+20,    3.01100e+17,    1.32484e+17,    1.16334e+17,    3.06258e+19,    7.65646e+18,    2.85761e+17,    2.85761e+17
Asia,HTAP_5.1,Road transport,    0.00000e+00,    0.00000e+00,    1.91379e+19,    2.27262e+19,    4.30783e+20,    8.66071e+19,    6.25729e+19,    8.37753e+18,    6.61534e+17,    0.00000e+00,    1.21298e+20,    3.11955e+19,    2.01161e+19,    7.15461e+19,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00
Asia,HTAP_5.3,Domestic Shipping,    0.00000e+00,    0.00000e+00,    1.65131e+20,    1.05118e+20,    7.32955e+19,    1.72221e+20,    0.00000e+00,    3.39184e+20,    1.76144e+18,    0.00000e+00,    5.35098e+18,    5.06998e+19,    1.53463e+20,    8.31741e+19,    7.63674e+19,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00
Asia,HTAP_5.4,Other ground transport,    0.00000e+00,    0.00000e+00,    4.29248e+19,    1.22331e+20,    1.85479e+20,    5.28667e+19,    5.79947e+19,    1.62525e+19,    5.50836e+17,    0.00000e+00,    9.23839e+19,    3.36167e+19,    2.50548e+19,    7.21039e+19,    2.80777e+20,    2.23898e+19,    2.28029e+19,    4.27879e+16,    1.06970e+16,    0.00000e+00,    0.00000e+00
Asia,HTAP_6,Residential,    2.67627e+18,    1.78418e+18,    1.82115e+20,    4.26987e+19,    3.63895e+19,    4.31861e+20,    9.40020e+19,    2.49258e+20,    5.31353e+15,    8.85588e+14,    1.13937e+20,    4.77244e+19,    2.06077e+19,    1.60992e+19,    7.81656e+17,    2.14383e+18,    7.41719e+19,    7.03100e+19,    1.75775e+19,    1.13623e+15,    1.13623e+15
Asia,HTAP_7,Waste,    0.00000e+00,    0.00000e+00,    2.22967e+20,    4.28233e+19,    2.29490e+19,    4.82620e+20,    1.18517e+20,    2.27444e+20,    0.00000e+00,    0.00000e+00,    1.49962e+20,    7.87793e+19,    2.55667e+19,    2.57792e+19,    0.00000e+00,    1.34471e+19,    5.64809e+19,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00
Asia,HTAP_8.1,Agricultural Waste Burning,    0.00000e+00,    0.00000e+00,    0.00000e+00,    8.67770e+19,    2.50883e+20,    0.00000e+00,    1.09463e+20,    0.00000e+00,    2.86364e+19,    4.06485e+17,    1.46299e+20,    1.37116e+20,    5.41051e+19,    4.88978e+19,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00
Asia,HTAP_8.2,Agriculture livestock,    2.58398e+20,    1.72265e+20,    0.00000e+00,    0.00000e+00,    1.27479e+20,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    2.13086e+17,    1.20597e+19,    3.65381e+19,    0.00000e+00,    0.00000e+00,    1.65385e+20,    1.25420e+20,    3.13550e+19,    5.25476e+19,    5.25476e+19
Asia,HTAP_8.3,Agricultural crops,    2.58398e+20,    1.72265e+20,    0.00000e+00,    0.00000e+00,    1.27479e+20,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    2.13086e+17,    1.20597e+19,    3.65381e+19,    0.00000e+00,    0.00000e+00,    1.65385e+20,    1.25420e+20,    3.13550e+19,    5.25476e+19,    5.25476e+19
North America,HTAP_2.1,Domestic Aviation,    1.73587e+19,    1.15725e+19,    1.04602e+19,    1.06754e+18,    1.28180e+20,    3.32634e+20,    6.50276e+19,    9.12009e+19,    0.00000e+00,    0.00000e+00,    1.43939e+20,    1.29465e+19,    4.20231e+18,    2.55806e+19,    0.00000e+00,    2.47063e+20,    3.00677e+20,    2.92463e+18,    7.31158e+17,    0.00000e+00,    0.00000e+00
North America,HTAP_3,Energy,    6.10035e+19,    4.06690e+19,    3.37613e+19,    6.95322e+19,    2.75571e+20,    2.15071e+18,    2.77973e+19,    3.03416e+17,    4.16226e+16,    0.00000e+00,    4.89804e+19,    4.71407e+19,    2.94450e+19,    9.61158e+19,    0.00000e+00,    2.35380e+20,    7.35095e+18,    3.47295e+19,    8.68238e+18,    6.96961e+18,    6.96961e+18
North America,HTAP_4.1,Industry,    2.31938e+20,    1.54625e+20,    2.08783e+19,    1.74611e+19,    7.35363e+19,    2.69549e+19,    7.11313e+18,    1.70515e+19,    7.70462e+16,    3.03230e+19,    3.79214e+19,    2.47535e+19,    2.11641e+19,    2.65079e+19,    1.35435e+19,    7.21496e+19,    7.60907e+19,    1.97157e+19,    4.92893e+18,    1.02077e+20,    1.02077e+20
North America,HTAP_4.2,Fugitive,    3.03663e+17,    2.02442e+17,    1.88719e+20,    9.48260e+19,    2.60513e+20,    3.34372e+19,    2.93228e+19,    1.41135e+20,    6.73047e+16,    0.00000e+00,    2.76743e+19,    2.61833e+19,    3.05734e+19,    5.31223e+19,    0.00000e+00,    9.29897e+19,    0.00000e+00,    1.34679e+19,    3.36697e+18,    0.00000e+00,    0.00000e+00
North America,HTAP_4.3,Solvents,    2.39155e+20,    1.59437e+20,    0.00000e+00,    3.77429e+19,    9.44140e+19,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    5.40905e+17,    2.31615e+15,    4.94832e+19,    7.99054e+19,    1.48141e+17,    1.24455e+17,    1.10860e+17,    1.37692e+20,    3.44231e+19,    2.71558e+17,    2.71558e+17
North America,HTAP_5.1,Road transport,    3.06027e+19,    2.04018e+19,    5.00689e+19,    4.50555e+18,    2.48354e+20,    2.29937e+20,    5.83388e+19,    3.90295e+19,    1.48247e+18,    0.00000e+00,    7.37792e+19,    2.68203e+19,    5.34315e+19,    7.91002e+19,    0.00000e+00,    3.14308e+19,    1.85532e+19,    3.39530e+18,    8.48825e+17,    4.88009e+17,    4.88009e+17
North America,HTAP_5.3,Domestic Shipping,    0.00000e+00,    0.00000e+00,    0.00000e+00,    3.14718e+19,    9.34223e+20,    1.18289e+17,    1.54851e+17,    0.00000e+00,    2.47965e+16,    1.70033e+17,    5.48432e+17,    1.57792e+19,    0.00000e+00,    2.95630e+18,    0.00000e+00,    7.98919e+17,    1.56983e+19,    2.52528e+18,    6.31320e+17,    2.98828e+17,    2.98828e+17
North America,HTAP_5.4,Other ground transport,    0.00000e+00,    0.00000e+00,    9.71951e+18,    5.96041e+18,    6.29970e+20,    0.00000e+00,    5.83847e+18,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.96924e+19,    0.00000e+00,    3.50280e+18,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00
North America,HTAP_6,Residential,    6.06335e+19,    4.04224e+19,    6.26689e+18,    9.01521e+18,    5.27197e+19,    4.44768e+18,    4.69142e+18,    5.21135e+17,    6.81903e+16,    0.00000e+00,    7.67913e+18,    7.47037e+18,    4.03670e+18,    8.31397e+19,    0.00000e+00,    1.66552e+20,    5.79745e+20,    3.03667e+19,    7.59168e+18,    1.56396e+19,    1.56396e+19
North America,HTAP_7,Waste,    6.88184e+20,    4.58789e+20,    2.76179e+20,    0.00000e+00,    2.56985e+17,    2.53333e+19,    1.07392e+18,    0.00000e+00,    0.00000e+00,    2.86045e+17,    3.75300e+17,    8.03783e+18,    0.00000e+00,    1.79155e+17,    0.00000e+00,    0.00000e+00,    1.31389e+17,    1.77427e+19,    4.43568e+18,    1.68900e+18,    1.68900e+18
North America,HTAP_8.1,Agricultural Waste Burning,    0.00000e+00,    0.00000e+00,    0.00000e+00,    8.90435e+18,    3.99644e+19,    1.15308e+20,    3.02304e+19,    2.43474e+19,    2.45485e+18,    0.00000e+00,    2.08533e+19,    8.55124e+18,    3.13471e+18,    4.94260e+18,    0.00000e+00,    1.37356e+20,    3.11599e+20,    1.78663e+19,    4.46658e+18,    0.00000e+00,    0.00000e+00
North America,HTAP_8.2,Agriculture livestock,    2.94945e+20,    1.96630e+20,    0.00000e+00,    0.00000e+00,    1.32899e+20,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    5.94479e+17,    1.09083e+19,    3.43798e+19,    0.00000e+00,    0.00000e+00,    1.59369e+20,    1.08099e+20,    2.70247e+19,    4.87350e+19,    4.87350e+19
North America,HTAP_8.3,Agricultural crops,    2.94945e+20,    1.96630e+20,    0.00000e+00,    0.00000e+00,    1.32899e+20,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    5.94479e+17,    1.09083e+19,    3.43798e+19,    0.00000e+00,    0.00000e+00,    1.59369e+20,    1.08099e+20,    2.70247e+19,    4.87350e+19,    4.87350e+19
Europe,HTAP_2.1,Domestic Aviation,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    8.96018e+18,    3.94237e+20,    7.83563e+19,    1.02034e+20,    0.00000e+00,    0.00000e+00,    4.31358e+19,    1.59212e+19,    0.00000e+00,    0.00000e+00,    0.00000e+00,    3.25872e+20,    1.86986e+20,    2.34034e+19,    5.85085e+18,    0.00000e+00,    0.00000e+00
Europe,HTAP_3,Energy,    1.03409e+19,    6.89391e+18,    4.11503e+19,    8.85508e+18,    4.40326e+19,    1.05748e+20,    2.86145e+19,    3.85640e+19,    1.16012e+17,    0.00000e+00,    1.91177e+19,    2.33986e+19,    1.06530e+19,    3.60825e+19,    0.00000e+00,    1.29139e+21,    1.78908e+19,    2.73502e+19,    6.83755e+18,    0.00000e+00,    0.00000e+00
Europe,HTAP_4.1,Industry,    1.22669e+20,    8.17794e+19,    1.33060e+20,    3.88542e+19,    1.54373e+20,    7.81226e+19,    4.85172e+19,    4.65454e+19,    3.54235e+15,    0.00000e+00,    2.43579e+19,    1.41772e+19,    1.19543e+19,    6.49077e+19,    1.54428e+19,    1.22865e+20,    5.62646e+18,    1.92363e+19,    4.80908e+18,    0.00000e+00,    0.00000e+00
Europe,HTAP_4.2,Fugitive,    0.00000e+00,    0.00000e+00,    1.43420e+20,    1.81316e+20,    3.52477e+20,    4.46918e+19,    1.08425e+19,    8.75043e+18,    0.00000e+00,    0.00000e+00,    5.23376e+19,    1.15877e+19,    2.56432e+19,    1.31735e+20,    0.00000e+00,    3.11137e+18,    1.57393e+18,    3.06647e+17,    7.66616e+16,    0.00000e+00,    0.00000e+00
Europe,HTAP_4.3,Solvents,    4.63151e+20,    3.08767e+20,    2.81027e+16,    2.10305e+19,    2.04421e+20,    6.92530e+17,    1.60587e+17,    1.55877e+18,    0.00000e+00,    0.00000e+00,    1.44958e+18,    0.00000e+00,    2.53971e+18,    2.84542e+19,    4.63092e+18,    5.56031e+17,    5.50192e+17,    3.66954e+19,    9.17384e+18,    1.20383e+18,    1.20383e+18
Europe,HTAP_5.1,Road transport,    0.00000e+00,    0.00000e+00,    1.94972e+19,    4.23114e+19,    3.81252e+20,    8.88288e+19,    3.18736e+19,    4.66612e+19,    2.03685e+16,    0.00000e+00,    8.81761e+19,    7.09237e+19,    1.91048e+19,    8.18297e+19,    0.00000e+00,    3.11197e+19,    2.99198e+19,    2.44842e+18,    6.12105e+17,    0.00000e+00,    0.00000e+00
Europe,HTAP_5.3,Domestic Shipping,    0.00000e+00,    0.00000e+00,    2.85985e+19,    1.46581e+18,    1.15793e+20,    2.90585e+20,    9.08146e+19,    1.73948e+20,    3.39180e+17,    0.00000e+00,    4.34982e+19,    4.95989e+19,    9.34202e+19,    9.66155e+19,    0.00000e+00,    1.53075e+20,    4.74561e+19,    2.15619e+19,    5.39048e+18,    0.00000e+00,    0.00000e+00
Europe,HTAP_5.4,Other ground transport,    0.00000e+00,    0.00000e+00,    6.70710e+19,    2.72756e+19,    1.20743e+20,    3.78242e+20,    9.16319e+19,    1.60776e+20,    5.70319e+17,    0.00000e+00,    3.47351e+19,    4.45582e+19,    2.58560e+19,    5.23879e+19,    0.00000e+00,    2.48126e+20,    1.55195e+20,    2.16229e+19,    5.40574e+18,    0.00000e+00,    0.00000e+00
Europe,HTAP_6,Residential,    0.00000e+00,    0.00000e+00,    1.38683e+20,    2.38882e+19,    7.38138e+19,    4.28562e+20,    6.47666e+19,    1.55768e+20,    4.25082e+16,    0.00000e+00,    5.55110e+19,    7.58432e+19,    3.14924e+19,    9.59209e+19,    0.00000e+00,    1.66127e+20,    5.77633e+19,    8.81431e+18,    2.20358e+18,    0.00000e+00,    0.00000e+00
Europe,HTAP_7,Waste,    0.00000e+00,    0.00000e+00,    3.52415e+20,    3.68382e+19,    1.97770e+19,    4.12501e+20,    1.02018e+20,    1.95889e+20,    0.00000e+00,    0.00000e+00,    1.29259e+20,    6.70550e+19,    2.20196e+19,    2.21866e+19,    0.00000e+00,    1.15683e+19,    4.86660e+19,    1.01154e+19,    2.52884e+18,    0.00000e+00,    0.00000e+00
Europe,HTAP_8.1,Agricultural Waste Burning,    0.00000e+00,    0.00000e+00,    2.00717e+20,    2.06076e+19,    6.29283e+19,    6.45360e+20,    8.60529e+19,    2.31597e+20,    0.00000e+00,    0.00000e+00,    3.23941e+19,    1.15723e+20,    3.27335e+19,    1.36915e+19,    0.00000e+00,    4.01226e+19,    8.21414e+19,    1.19307e+19,    2.98267e+18,    0.00000e+00,    0.00000e+00
Europe,HTAP_8.2,Agriculture livestock,    3.43317e+20,    2.28878e+20,    0.00000e+00,    0.00000e+00,    1.40147e+20,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.09708e+18,    9.39694e+18,    3.15078e+19,    0.00000e+00,    0.00000e+00,    1.51282e+20,    8.51931e+19,    2.12983e+19,    4.36436e+19,    4.36436e+19
Europe,HTAP_8.3,Agricultural crops,    3.43317e+20,    2.28878e+20,    0.00000e+00,    0.00000e+00,    1.40147e+20,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.09708e+18,    9.39694e+18,    3.15078e+19,    0.00000e+00,    0.00000e+00,    1.51282e+20,    8.51931e+19,    2.12983e+19,    4.36436e+19,    4.36436e+19
Other,HTAP_2.1,Domestic Aviation,    1.72607e+19,    1.15071e+19,    1.04221e+19,    1.06206e+18,    1.27748e+20,    3.33017e+20,    6.50233e+19,    9.13028e+19,    0.00000e+00,    0.00000e+00,    1.43307e+20,    1.29975e+19,    4.18136e+18,    2.54736e+19,    0.00000e+00,    2.47615e+20,    2.99816e+20,    3.02289e+18,    7.55721e+17,    0.00000e+00,    0.00000e+00
Other,HTAP_3,Energy,    4.00508e+19,    2.67005e+19,    1.32022e+19,    6.28957e+19,    3.05411e+20,    1.19580e+19,    2.17624e+19,    2.61957e+18,    8.94444e+16,    0.00000e+00,    1.66831e+19,    4.46284e+19,    2.21937e+19,    3.57134e+19,    0.00000e+00,    4.51865e+20,    1.92471e+19,    5.68952e+19,    1.42238e+19,    1.76268e+19,    1.76268e+19
Other,HTAP_4.1,Industry,    1.75661e+20,    1.17107e+20,    4.04819e+19,    2.33188e+19,    1.26040e+20,    5.22817e+19,    1.59769e+19,    1.82976e+19,    3.44494e+17,    7.94373e+18,    2.20717e+19,    3.00606e+19,    1.30101e+19,    1.67568e+19,    4.88505e+18,    1.49793e+20,    1.06822e+20,    7.21428e+19,    1.80357e+19,    7.98460e+19,    7.98460e+19
Other,HTAP_4.2,Fugitive,    8.54137e+19,    5.69425e+19,    8.92681e+19,    8.11848e+19,    2.23414e+20,    3.59212e+19,    1.69304e+19,    1.40428e+19,    2.94015e+17,    0.00000e+00,    1.52539e+19,    1.84798e+19,    7.11643e+18,    1.13045e+19,    0.00000e+00,    1.20125e+20,    8.21976e+19,    6.30987e+19,    1.57747e+19,    1.14241e+20,    1.14241e+20
Other,HTAP_4.3,Solvents,    2.63317e+20,    1.75545e+20,    0.00000e+00,    5.97820e+19,    2.08989e+20,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.40657e+18,    7.72051e+14,    2.47111e+19,    3.81621e+19,    6.26288e+16,    1.38506e+17,    1.19071e+17,    9.49226e+19,    2.37306e+19,    2.99396e+17,    2.99396e+17
Other,HTAP_5.1,Road transport,    2.37587e+19,    1.58391e+19,    4.33323e+19,    5.42938e+18,    2.82775e+20,    1.94435e+20,    5.00973e+19,    3.04088e+19,    1.28145e+18,    0.00000e+00,    8.60920e+19,    2.68033e+19,    6.27610e+19,    8.63401e+19,    0.00000e+00,    2.32851e+19,    1.46855e+19,    2.86283e+18,    7.15707e+17,    1.39188e+17,    1.39188e+17
Other,HTAP_5.3,Domestic Shipping,    0.00000e+00,    0.00000e+00,    1.74036e+18,    5.53477e+18,    3.99435e+20,    2.51569e+19,    7.18912e+18,    9.74869e+18,    4.56078e+17,    2.94015e+18,    1.37990e+19,    4.11303e+19,    2.02784e+18,    1.57037e+19,    0.00000e+00,    2.63342e+19,    2.80323e+20,    4.45739e+19,    1.11435e+19,    5.16017e+18,    5.16017e+18
Other,HTAP_5.4,Other ground transport,    0.00000e+00,    0.00000e+00,    3.06721e+18,    1.19475e+20,    5.99819e+20,    4.86922e+18,    1.97436e+18,    4.77591e+18,    7.08471e+15,    0.00000e+00,    4.79394e+18,    8.19146e+17,    7.27222e+17,    1.78265e+19,    0.00000e+00,    2.62961e+18,    2.01600e+18,    1.85414e+17,    4.63536e+16,    0.00000e+00,    0.00000e+00
Other,HTAP_6,Residential,    6.01262e+19,    4.00841e+19,    4.40007e+18,    3.64194e+18,    1.27311e+19,    4.14443e+18,    1.84245e+18,    5.69774e+17,    5.31353e+16,    0.00000e+00,    3.85085e+18,    3.04111e+18,    1.24367e+18,    8.46640e+19,    0.00000e+00,    1.65591e+20,    6.62941e+20,    3.00839e+19,    7.52096e+18,    1.26968e+19,    1.26968e+19
Other,HTAP_7,Waste,    5.98110e+20,    3.98740e+20,    3.26950e+20,    3.94167e+18,    2.13544e+18,    4.95654e+19,    1.11436e+19,    2.10168e+19,    0.00000e+00,    1.77118e+16,    1.38657e+19,    8.90638e+18,    2.35251e+18,    2.39023e+18,    0.00000e+00,    1.24254e+18,    5.24051e+18,    1.91824e+19,    4.79561e+18,    1.03965e+17,    1.03965e+17
