"Emission factors for MOZART species to use with GFAS emissions, created 2026/02/11."
Based on NEIVA and used in FINNv2.6. Peat from GFAS4HTAP table or copied crops.
All emission factors are in units of g/kg(DM).
Contact: Louisa Emmons (emmons@ucar.edu)
species,long_name,tropical_forest,temperate_forest,boreal_forest,savanna,crop_residue,peat
BC,black carbon,0.344,0.435,0.130,0.350,0.446,0.016
OC,organic carbon,4.400,11.300,5.900,3.000,4.900,13.173
PM2.5,PM2.5,8.300,18.900,18.800,6.700,8.200,8.200
PM10,PM10,9.960,22.680,22.560,8.040,9.840,9.840
CO2,carbon dioxide,1624.857,1581.128,1609.800,1640.333,1441.409,1572.000
CH4,methane,4.681,4.744,4.784,2.828,2.142,11.098
CO,carbon monoxide,110.761,95.954,100.480,80.950,57.542,224.900
NOx_asNO,nitrogen oxides(NOx as NO),2.550,1.651,1.210,3.404,2.052,0.927
HONO,nitrous acid,1.180,0.378,0.255,0.499,0.353,0.353
NH3,ammonia,1.327,1.063,1.471,0.659,0.968,6.152
SO2,sulfur dioxide,0.403,0.950,0.564,0.944,1.245,2.063
SO2x0.975,SO2 minus 2.5%,0.393,0.926,0.550,0.920,1.214,2.011
so4_a1,sulfate aerosol,0.010,0.024,0.014,0.024,0.031,0.050
num_a1_so4,sulfate number,2.08E+19,4.90E+19,2.91E+19,4.87E+19,6.42E+19,1.04E+20
DMS,dimethyl sulfide,0.001,0.016,0.004,0.011,0.014,0.030
H2,hydrogen,3.100,2.100,1.600,0.970,2.600,1.217
HCN,hydrogen cyanide,0.423,0.493,0.926,0.485,0.321,4.680
CH3CN,acetonitrile,0.410,0.209,0.218,0.235,0.218,0.410
HNCO,isocynaic acid,0.000,0.405,0.083,1.050,0.469,0.469
HCL,hydrochloric acid,0.130,0.053,0.049,0.236,0.261,0.261
CH3I,methyl iodide,0.003,0.001,0.000,0.001,0.001,0.001
CH3BR,methyl bromide,0.003,0.002,0.002,0.002,0.002,0.002
CH3CL,methyl chloride,0.053,0.044,0.055,0.091,0.162,0.162
C2H2,acetylene,0.438,0.332,0.344,0.354,0.237,0.168
C2H4,ethylene,1.058,1.361,1.662,1.204,0.889,1.526
C2H6,ethane,0.708,0.789,0.959,0.614,0.524,2.521
C3H6,propylene,0.636,0.690,0.826,0.717,0.370,1.857
C3H8,propane,0.126,0.300,0.310,0.097,0.171,4.064
BIGENE,Alkenes C4 and larger,0.875,4.057,2.820,2.189,2.462,1.810
BIGALK,Alkanes C4 and larger,0.970,1.550,1.100,0.950,0.900,2.170
ISOBUTANE,isobutane,0.011,0.047,0.040,0.007,0.019,0.019
NBUTANE,nbutane,0.038,0.105,0.095,0.031,0.054,0.054
IPENTANE,isopentane,0.010,0.029,0.016,0.013,0.022,0.022
NPENTANE,npentane,0.008,0.053,0.057,0.016,0.027,0.027
C6ALKANES,Alkanes C6 and larger,0.145,1.584,1.077,1.367,1.412,1.412
ISOP,Alkanes C4 and larger,0.128,0.258,0.425,0.102,0.291,0.646
MTERP,terpenes,0.000,0.988,2.981,0.080,0.099,0.241
BENZENE,benzene,0.385,0.509,0.751,0.434,0.242,1.324
TOLUENE,toluene,0.303,0.483,1.601,0.223,0.216,0.783
XYLENES,xylenes,0.125,0.935,0.663,0.335,0.542,0.327
STYRENE,styrene,0.000,0.084,0.110,0.107,0.040,0.040
C2H4O,ethylene oxide,0.014,0.012,0.013,0.048,0.041,0.041
CH3OH,methanol,2.433,1.827,2.138,1.210,1.691,3.692
C2H5OH,ethanol,0.000,0.182,0.027,0.309,0.247,0.337
IPROPANOL,ipropanol,0.000,0.006,0.004,0.013,0.008,0.008
CH2O,formaldehyde,1.730,2.036,1.679,1.698,1.748,1.350
CH3CHO,acetaldehyde,1.550,1.560,1.595,2.447,2.103,1.809
GLYOXAL,glyoxal,0.000,0.235,0.000,0.717,0.344,0.000
GLYALD,glycoaldehyde,2.838,0.573,0.740,0.611,1.610,1.517
CH3COCHO,methylglyoxal,0.000,0.527,0.482,1.376,1.118,0.194
PROPANAL,propanal,0.100,0.178,0.013,0.419,0.207,0.207
BUTANAL,butanal,0.790,0.320,0.200,0.090,0.160,0.160
CH3COCH3,acetone,0.630,0.636,0.730,0.514,0.501,0.926
HYAC,hydroxyacetone,1.130,0.621,0.312,1.160,2.164,1.162
MEK,methyl ethyl ketone,0.500,0.169,0.105,0.144,0.251,0.257
MACR,methacrolein,0.150,0.094,0.070,0.124,0.132,0.092
MVK,methyl vinyl ketone,0.390,0.308,0.175,0.424,0.426,0.101
HCOOH,formic acid,0.788,0.497,0.453,0.383,0.496,0.414
